Gen,Genesis
Exod,Exodus
Lev,Leviticus
Num,Numbers
Deut,Deuteronomy
Josh,Joshua
Judg,Judges
Ruth,Ruth
1Sam,1 Samuel
2Sam,2 Samuel
1Kgs,1 Kings
2Kgs,2 Kings
1Chr,1 Chronicles
2Chr,2 Chronicles
Ezra,Ezra
Neh,Nehemiah
Esth,Esther[6]
Job,Job
Ps,Psalms
Prov,Proverbs
Eccl,Ecclesiastes
Song,Song of Solomon
Isa,Isaiah
Jer,Jeremiah
Lam,Lamentations
Ezek,Ezekiel
Dan,Daniel
Hos,Hosea
Joel,Joel
Amos,Amos
Obad,Obadiah
Jonah,Jonah
Mic,Micah
Nah,Nahum
Hab,Habakkuk
Zeph,Zephaniah
Hag,Haggai
Zech,Zechariah
Mal,Malachi
Matt,Matthew
Mark,Mark
Luke,Luke
John,John
Acts,Acts
Rom,Romans
1Cor,1 Corinthians
2Cor,2 Corinthians
Gal,Galatians
Eph,Ephesians
Phil,Philippians
Col,Colossians
1Thess,1 Thessalonians
2Thess,2 Thessalonians
1Tim,1 Timothy
2Tim,2 Timothy
Titus,Titus
Phlm,Philemon
Heb,Hebrews
Jas,James
1Pet,1 Peter
2Pet,2 Peter
1John,1 John
2John,2 John
3John,3 John
Jude,Jude
Rev,Revelation
Tob,Tobit
Jdt,Judith
EsthGr,Greek Esther †
AddEsth,Additions to Esther
Wis,Wisdom
SirP,Sirach Prologue †
Sir,Sirach
Bar,Baruch
EpJer,Letter of Jeremiah
DanGr,Greek Daniel †
AddDan,Additions to Daniel
PrAzar,Prayer of Azariah
Sus,Susanna
Bel,Bel and the Dragon
1Macc,1 Maccabees
2Macc,2 Maccabees
3Macc,3 Maccabees
4Macc,4 Maccabees
PrMan,Prayer of Manasseh
1Esd,1 Esdras
2Esd,2 Esdras
AddPs,Psalm 151 †
Odes,Odes †
PssSol,Psalms of Solomon
JoshA,Joshua A †
JudgB,Judges B †
TobS,Tobit S †
SusTh,Susanna θ †
DanTh,Daniel θ †
BelTh,Bel and the Dragon θ †
EpLao,Epistle to the Laodiceans
5Ezra,5 Ezra
4Ezra,4 Ezra
6Ezra,6 Ezra
PrSol,Prayer of Solomon †
PrJer,Prayer of Jeremiah †
1En,1 Enoch
Jub,Jubilees
4Bar,4 Baruch
1Meq,1 Meqabyan †
2Meq,2 Meqabyan †
3Meq,3 Meqabyan †
Rep,Reproof †
AddJer,Additions to Jeremiah
PsJos,Pseudo-Josephus †
EpCorPaul,Epistle of the Corinthians to Paul †
3Cor,3 Corinthians
WSir,Words of Sirach †
PrEuth,Prayer of Euthalius †
DormJohn,Dormition of John †
JosAsen,Joseph and Asenath
T12Patr,Testaments of the Twelve Patriarchs (composed of:)
T12Patr.TAsh,Testament of Asher
T12Patr.TBenj,Testament of Benjamin
T12Patr.TDan,Testament of Dan
T12Patr.TGad,Testament of Gad
T12Patr.TIss,Testament of Issachar
T12Patr.TJos,Testament of Joseph
T12Patr.TJud,Testament of Judah
T12Patr.TLevi,Testament of Levi
T12Patr.TNaph,Testament of Naphtali
T12Patr.TReu,Testament of Reuben
T12Patr.TSim,Testament of Simeon
T12Patr.TZeb,Testament of Zebulun
2Bar,2 Baruch
EpBar,Letter of Baruch †
5ApocSyrPss,Additional Syriac Psalms
JosephusJWvi,Josephus' Jewish War VI †
1Clem,1 Clement
2Clem,2 Clement
IgnEph,Ignatius to the Ephesians
IgnMagn,Ignatius to the Magnesians
IgnTrall,Ignatius to the Trallians
IgnRom,Ignatius to the Romans
IgnPhld,Ignatius to the Philadelphians
IgnSmyrn,Ignatius to the Smyrnaeans
IgnPol,Ignatius to Polycarp
PolPhil,Polycarp to the Philippians
MartPol,Martyrdom of Polycarp
Did,Didache
Barn,Barnabas
Herm,Shepherd of Hermas (comprised of:)
Herm.Mand,"Shepherd of Hermas, Mandates"
Herm.Sim,"Shepherd of Hermas, Similitudes"
Herm.Vis,"Shepherd of Hermas, Visions"
Diogn,Diognetus
AposCreed,Apostles' Creed †
PapFrag,Fragments of Papias †
RelElders,Reliques of the Elders †
QuadFrag,Fragment of Quadratus †
TatDiat,Diatessaron
PsMet,Metrical Psalms †